nm, %T
1200.000000, 91.869875
1199.000000, 91.908877
1198.000000, 91.901549
1197.000000, 91.922241
1196.000000, 91.954246
1195.000000, 91.980808
1194.000000, 91.949407
1193.000000, 91.905815
1192.000000, 91.875605
1191.000000, 91.870444
1190.000000, 91.802762
1189.000000, 91.794879
1188.000000, 91.792284
1187.000000, 91.769442
1186.000000, 91.760649
1185.000000, 91.764695
1184.000000, 91.773919
1183.000000, 91.788522
1182.000000, 91.787360
1181.000000, 91.798976
1180.000000, 91.805424
1179.000000, 91.805183
1178.000000, 91.836317
1177.000000, 91.842919
1176.000000, 91.823001
1175.000000, 91.812991
1174.000000, 91.798666
1173.000000, 91.775623
1172.000000, 91.765937
1171.000000, 91.761904
1170.000000, 91.761845
1169.000000, 91.774408
1168.000000, 91.783626
1167.000000, 91.790858
1166.000000, 91.769020
1165.000000, 91.741336
1164.000000, 91.716489
1163.000000, 91.721006
1162.000000, 91.698700
1161.000000, 91.676496
1160.000000, 91.690303
1159.000000, 91.754729
1158.000000, 91.764365
1157.000000, 91.820072
1156.000000, 91.842678
1155.000000, 91.852460
1154.000000, 91.851025
1153.000000, 91.825297
1152.000000, 91.789093
1151.000000, 91.768071
1150.000000, 91.766963
1149.000000, 91.805410
1148.000000, 91.847883
1147.000000, 91.879412
1146.000000, 91.871661
1145.000000, 91.845129
1144.000000, 91.820049
1143.000000, 91.815383
1142.000000, 91.824381
1141.000000, 91.838357
1140.000000, 91.854434
1139.000000, 91.853918
1138.000000, 91.850526
1137.000000, 91.843736
1136.000000, 91.836360
1135.000000, 91.823617
1134.000000, 91.821022
1133.000000, 91.837841
1132.000000, 91.846512
1131.000000, 91.838910
1130.000000, 91.808596
1129.000000, 91.823855
1128.000000, 91.840556
1127.000000, 91.852858
1126.000000, 91.836924
1125.000000, 91.816011
1124.000000, 91.801653
1123.000000, 91.813244
1122.000000, 91.835132
1121.000000, 91.841184
1120.000000, 91.831057
1119.000000, 91.819308
1118.000000, 91.815568
1117.000000, 91.835251
1116.000000, 91.839059
1115.000000, 91.824359
1114.000000, 91.816252
1113.000000, 91.819622
1112.000000, 91.830050
1111.000000, 91.840503
1110.000000, 91.838127
1109.000000, 91.825309
1108.000000, 91.817544
1107.000000, 91.823790
1106.000000, 91.826793
1105.000000, 91.820859
1104.000000, 91.818115
1103.000000, 91.820255
1102.000000, 91.816275
1101.000000, 91.828434
1100.000000, 91.837171
1099.000000, 91.827999
1098.000000, 91.813799
1097.000000, 91.822310
1096.000000, 91.834393
1095.000000, 91.827330
1094.000000, 91.823098
1093.000000, 91.823613
1092.000000, 91.817885
1091.000000, 91.812855
1090.000000, 91.811419
1089.000000, 91.811580
1088.000000, 91.809407
1087.000000, 91.806504
1086.000000, 91.809833
1085.000000, 91.817075
1084.000000, 91.819051
1083.000000, 91.817686
1082.000000, 91.812530
1081.000000, 91.810949
1080.000000, 91.816306
1079.000000, 91.816769
1078.000000, 91.813645
1077.000000, 91.815158
1076.000000, 91.819805
1075.000000, 91.816477
1074.000000, 91.815196
1073.000000, 91.808464
1072.000000, 91.805025
1071.000000, 91.812810
1070.000000, 91.820393
1069.000000, 91.814915
1068.000000, 91.798745
1067.000000, 91.790407
1066.000000, 91.785836
1065.000000, 91.789756
1064.000000, 91.799305
1063.000000, 91.800240
1062.000000, 91.796532
1061.000000, 91.800992
1060.000000, 91.800364
1059.000000, 91.796966
1058.000000, 91.801716
1057.000000, 91.802765
1056.000000, 91.797857
1055.000000, 91.792402
1054.000000, 91.785250
1053.000000, 91.784616
1052.000000, 91.793162
1051.000000, 91.790873
1050.000000, 91.780234
1049.000000, 91.788557
1048.000000, 91.788910
1047.000000, 91.785798
1046.000000, 91.793023
1045.000000, 91.785632
1044.000000, 91.779014
