nm, %T
1200.000000, 94.603212
1199.000000, 94.604112
1198.000000, 94.595987
1197.000000, 94.590539
1196.000000, 94.574801
1195.000000, 94.589613
1194.000000, 94.598998
1193.000000, 94.595476
1192.000000, 94.593598
1191.000000, 94.577110
1190.000000, 94.554903
1189.000000, 94.547297
1188.000000, 94.553505
1187.000000, 94.544617
1186.000000, 94.537793
1185.000000, 94.533457
1184.000000, 94.524614
1183.000000, 94.519619
1182.000000, 94.529306
1181.000000, 94.532732
1180.000000, 94.518433
1179.000000, 94.506685
1178.000000, 94.518937
1177.000000, 94.514395
1176.000000, 94.508589
1175.000000, 94.499082
1174.000000, 94.486094
1173.000000, 94.483917
1172.000000, 94.479485
1171.000000, 94.478212
1170.000000, 94.473468
1169.000000, 94.474036
1168.000000, 94.459004
1167.000000, 94.464904
1166.000000, 94.464999
1165.000000, 94.466205
1164.000000, 94.451233
1163.000000, 94.454185
1162.000000, 94.445082
1161.000000, 94.451468
1160.000000, 94.440775
1159.000000, 94.434861
1158.000000, 94.425272
1157.000000, 94.425847
1156.000000, 94.413011
1155.000000, 94.426275
1154.000000, 94.426146
1153.000000, 94.413423
1152.000000, 94.406028
1151.000000, 94.403606
1150.000000, 94.400608
1149.000000, 94.399414
1148.000000, 94.383590
1147.000000, 94.382630
1146.000000, 94.373257
1145.000000, 94.355893
1144.000000, 94.351074
1143.000000, 94.354965
1142.000000, 94.351493
1141.000000, 94.346187
1140.000000, 94.330223
1139.000000, 94.336804
1138.000000, 94.333289
1137.000000, 94.320408
1136.000000, 94.316057
1135.000000, 94.321379
1134.000000, 94.320857
1133.000000, 94.306619
1132.000000, 94.293188
1131.000000, 94.280383
1130.000000, 94.295598
1129.000000, 94.287825
1128.000000, 94.283370
1127.000000, 94.284490
1126.000000, 94.275275
1125.000000, 94.263463
1124.000000, 94.270720
1123.000000, 94.254370
1122.000000, 94.244380
1121.000000, 94.246793
1120.000000, 94.224342
1119.000000, 94.224906
1118.000000, 94.224657
1117.000000, 94.218685
1116.000000, 94.212337
1115.000000, 94.212678
1114.000000, 94.205689
1113.000000, 94.187599
1112.000000, 94.181636
1111.000000, 94.173922
1110.000000, 94.167604
1109.000000, 94.164914
1108.000000, 94.162309
1107.000000, 94.158703
1106.000000, 94.148509
1105.000000, 94.135353
1104.000000, 94.126352
1103.000000, 94.118586
1102.000000, 94.115571
1101.000000, 94.110555
1100.000000, 94.106744
1099.000000, 94.103725
1098.000000, 94.088302
1097.000000, 94.088536
1096.000000, 94.081884
1095.000000, 94.070462
1094.000000, 94.067376
1093.000000, 94.066352
1092.000000, 94.054388
1091.000000, 94.042733
1090.000000, 94.040576
1089.000000, 94.029319
1088.000000, 94.021014
1087.000000, 94.011107
1086.000000, 93.997613
1085.000000, 93.994973
1084.000000, 94.001941
