nm, %T
1200.000000, 96.116323
1199.000000, 96.083005
1198.000000, 96.097437
1197.000000, 96.054291
1196.000000, 96.024642
1195.000000, 96.052155
1194.000000, 95.997574
1193.000000, 96.050272
1192.000000, 96.047557
1191.000000, 96.063137
1190.000000, 95.986666
1189.000000, 96.040669
1188.000000, 96.008045
1187.000000, 96.066103
1186.000000, 95.976874
1185.000000, 96.010288
1184.000000, 95.976467
1183.000000, 95.977015
1182.000000, 96.045970
1181.000000, 95.958177
1180.000000, 96.026974
1179.000000, 96.015387
1178.000000, 96.082835
1177.000000, 96.097916
1176.000000, 96.041697
1175.000000, 96.041845
1174.000000, 95.988973
1173.000000, 95.990273
1172.000000, 95.971831
1171.000000, 96.025130
1170.000000, 96.018811
1169.000000, 96.017169
1168.000000, 96.015194
1167.000000, 95.998734
1166.000000, 96.008426
1165.000000, 96.068842
1164.000000, 95.964150
1163.000000, 95.966222
1162.000000, 96.008860
1161.000000, 95.994773
1160.000000, 95.939693
1159.000000, 95.939915
1158.000000, 95.935899
1157.000000, 95.926289
1156.000000, 95.941248
1155.000000, 95.970823
1154.000000, 95.933285
1153.000000, 95.944050
1152.000000, 95.921517
1151.000000, 95.971422
1150.000000, 95.911017
1149.000000, 95.882926
1148.000000, 95.874170
1147.000000, 95.871377
1146.000000, 95.876147
1145.000000, 95.899005
1144.000000, 95.914465
1143.000000, 95.961486
1142.000000, 95.935914
1141.000000, 95.916785
1140.000000, 95.920698
1139.000000, 95.911381
1138.000000, 95.918395
1137.000000, 95.909784
1136.000000, 95.885329
1135.000000, 95.900377
1134.000000, 95.902755
1133.000000, 95.901507
1132.000000, 95.896030
1131.000000, 95.902776
1130.000000, 95.880620
1129.000000, 95.819867
1128.000000, 95.842579
1127.000000, 95.832214
1126.000000, 95.805619
1125.000000, 95.842015
1124.000000, 95.835757
1123.000000, 95.799194
1122.000000, 95.864590
1121.000000, 95.842989
1120.000000, 95.807550
1119.000000, 95.814084
1118.000000, 95.805369
1117.000000, 95.804332
1116.000000, 95.747044
1115.000000, 95.770631
1114.000000, 95.828972
1113.000000, 95.796903
1112.000000, 95.800771
1111.000000, 95.807352
1110.000000, 95.810529
1109.000000, 95.827419
1108.000000, 95.791358
1107.000000, 95.792738
1106.000000, 95.753356
1105.000000, 95.719579
1104.000000, 95.749633
1103.000000, 95.775539
1102.000000, 95.729719
1101.000000, 95.705393
1100.000000, 95.735066
1099.000000, 95.714316
1098.000000, 95.681631
1097.000000, 95.685388
1096.000000, 95.721253
1095.000000, 95.740464
1094.000000, 95.695140
1093.000000, 95.705294
1092.000000, 95.699477
1091.000000, 95.686974
1090.000000, 95.701466
1089.000000, 95.716937
1088.000000, 95.662128
1087.000000, 95.645341
1086.000000, 95.643467
1085.000000, 95.643299
1084.000000, 95.654728
1083.000000, 95.640844
1082.000000, 95.662619
1081.000000, 95.650815
1080.000000, 95.626313
1079.000000, 95.610018
1078.000000, 95.634794
1077.000000, 95.662193
1076.000000, 95.612980
1075.000000, 95.587119
1074.000000, 95.622028
1073.000000, 95.642622
1072.000000, 95.613346
1071.000000, 95.584276
1070.000000, 95.568554
1069.000000, 95.580767
1068.000000, 95.607796
1067.000000, 95.627051
1066.000000, 95.603007
1065.000000, 95.550484
1064.000000, 95.550487
1063.000000, 95.579636
1062.000000, 95.559253
1061.000000, 95.551452
1060.000000, 95.534676
1059.000000, 95.540792
1058.000000, 95.529483
1057.000000, 95.555990
1056.000000, 95.537766
1055.000000, 95.521002
1054.000000, 95.514144
1053.000000, 95.506443
1052.000000, 95.494877
1051.000000, 95.533809
1050.000000, 95.583917
1049.000000, 95.534039
1048.000000, 95.487289
1047.000000, 95.495216
1046.000000, 95.497283
1045.000000, 95.475771
1044.000000, 95.473676
1043.000000, 95.494931
1042.000000, 95.476854
1041.000000, 95.443232
1040.000000, 95.446699
1039.000000, 95.413437
1038.000000, 95.427632
1037.000000, 95.425893
1036.000000, 95.428309
1035.000000, 95.452466
1034.000000, 95.423274
1033.000000, 95.439482
1032.000000, 95.427049
1031.000000, 95.389857
1030.000000, 95.401015
1029.000000, 95.402734
1028.000000, 95.415142
1027.000000, 95.407238
1026.000000, 95.438786
1025.000000, 95.389952
1024.000000, 95.383941
1023.000000, 95.371379
1022.000000, 95.355498
1021.000000, 95.341963
1020.000000, 95.364605
1019.000000, 95.375770
1018.000000, 95.344625
1017.000000, 95.362186
1016.000000, 95.321298
1015.000000, 95.311865
1014.000000, 95.322578
1013.000000, 95.346384
1012.000000, 95.320944
1011.000000, 95.325682
1010.000000, 95.334150
1009.000000, 95.320035
1008.000000, 95.285983
1007.000000, 95.283920
1006.000000, 95.339676
1005.000000, 95.312827
1004.000000, 95.286960
1003.000000, 95.303068
1002.000000, 95.315268
1001.000000, 95.345788
1000.000000, 95.264378
999.000000, 95.265752
998.000000, 95.270376
997.000000, 95.282349
996.000000, 95.251456
995.000000, 95.258221
994.000000, 95.267287
993.000000, 95.266571
992.000000, 95.265050
991.000000, 95.291507
