nm, %T
1200.000000, 46.454849
1199.000000, 46.462393
1198.000000, 46.447690
1197.000000, 46.440776
1196.000000, 46.439137
1195.000000, 46.447653
1194.000000, 46.449346
1193.000000, 46.461164
1192.000000, 46.430994
1191.000000, 46.466116
1190.000000, 46.444527
1189.000000, 46.453618
1188.000000, 46.476119
1187.000000, 46.493201
1186.000000, 46.480775
1185.000000, 46.485216
1184.000000, 46.481151
1183.000000, 46.483206
1182.000000, 46.469580
1181.000000, 46.466990
1180.000000, 46.464682
1179.000000, 46.464633
1178.000000, 46.470470
1177.000000, 46.494016
1176.000000, 46.508887
1175.000000, 46.519404
1174.000000, 46.516515
1173.000000, 46.513363
1172.000000, 46.501202
1171.000000, 46.497231
1170.000000, 46.489454
1169.000000, 46.490214
1168.000000, 46.497146
1167.000000, 46.515419
1166.000000, 46.532981
1165.000000, 46.534480
1164.000000, 46.536371
1163.000000, 46.529722
1162.000000, 46.508708
1161.000000, 46.505182
1160.000000, 46.503274
1159.000000, 46.512818
1158.000000, 46.528037
1157.000000, 46.541651
1156.000000, 46.547850
1155.000000, 46.547477
1154.000000, 46.535775
1153.000000, 46.525297
1152.000000, 46.524742
1151.000000, 46.498871
1150.000000, 46.506120
1149.000000, 46.532704
1148.000000, 46.573035
1147.000000, 46.575291
1146.000000, 46.563706
1145.000000, 46.555967
1144.000000, 46.552931
1143.000000, 46.542055
1142.000000, 46.542588
1141.000000, 46.551376
1140.000000, 46.558931
1139.000000, 46.562932
1138.000000, 46.585544
1137.000000, 46.611976
1136.000000, 46.627246
1135.000000, 46.628736
1134.000000, 46.590312
1133.000000, 46.546855
1132.000000, 46.550315
1131.000000, 46.580291
1130.000000, 46.631357
1129.000000, 46.654034
1128.000000, 46.637490
1127.000000, 46.625357
1126.000000, 46.599223
1125.000000, 46.617701
1124.000000, 46.628927
1123.000000, 46.631022
1122.000000, 46.629807
1121.000000, 46.635263
1120.000000, 46.644569
1119.000000, 46.653937
1118.000000, 46.652496
1117.000000, 46.653977
1116.000000, 46.660668
1115.000000, 46.675949
1114.000000, 46.674675
1113.000000, 46.675262
1112.000000, 46.686249
1111.000000, 46.699619
1110.000000, 46.706060
1109.000000, 46.712105
1108.000000, 46.712546
1107.000000, 46.715229
1106.000000, 46.720842
1105.000000, 46.730987
1104.000000, 46.744454
1103.000000, 46.746567
1102.000000, 46.750094
1101.000000, 46.752577
1100.000000, 46.755741
1099.000000, 46.767498
1098.000000, 46.787474
1097.000000, 46.808686
1096.000000, 46.824810
1095.000000, 46.832239
1094.000000, 46.829515
1093.000000, 46.836379
1092.000000, 46.841547
1091.000000, 46.841389
1090.000000, 46.824489
1089.000000, 46.805014
1088.000000, 46.819958
1087.000000, 46.840003
1086.000000, 46.852691
1085.000000, 46.866569
1084.000000, 46.877150
1083.000000, 46.890913
1082.000000, 46.901466
1081.000000, 46.911016
1080.000000, 46.923990
1079.000000, 46.935583
1078.000000, 46.941624
1077.000000, 46.947277
1076.000000, 46.960162
1075.000000, 46.969322
1074.000000, 46.967195
1073.000000, 46.952138
1072.000000, 46.946928
1071.000000, 46.960281
1070.000000, 46.972573
1069.000000, 46.992731
1068.000000, 47.015061
1067.000000, 47.026345
1066.000000, 47.038086
1065.000000, 47.053412
1064.000000, 47.064224
1063.000000, 47.067935
1062.000000, 47.076881
1061.000000, 47.091792
1060.000000, 47.079833
1059.000000, 47.067773
1058.000000, 47.080501
1057.000000, 47.103159
1056.000000, 47.120281
1055.000000, 47.134643
1054.000000, 47.146411
1053.000000, 47.159514
1052.000000, 47.177065
1051.000000, 47.189627
1050.000000, 47.195996
1049.000000, 47.209722
1048.000000, 47.194143
1047.000000, 47.189680
1046.000000, 47.204356
1045.000000, 47.221372
1044.000000, 47.246835
1043.000000, 47.259580
1042.000000, 47.273347
1041.000000, 47.294285
1040.000000, 47.307675
1039.000000, 47.317791
1038.000000, 47.300295
1037.000000, 47.294863
1036.000000, 47.324942
1035.000000, 47.339325
1034.000000, 47.359535
1033.000000, 47.371122
1032.000000, 47.386469
1031.000000, 47.403926
1030.000000, 47.410421
1029.000000, 47.417009
1028.000000, 47.422599
1027.000000, 47.437580
1026.000000, 47.462204
1025.000000, 47.472014
1024.000000, 47.472012
1023.000000, 47.462418
1022.000000, 47.491661
1021.000000, 47.510530
1020.000000, 47.534101
1019.000000, 47.526589
1018.000000, 47.530959
1017.000000, 47.557612
1016.000000, 47.575902
1015.000000, 47.597447
1014.000000, 47.578648
1013.000000, 47.595795
1012.000000, 47.611602
1011.000000, 47.639389
1010.000000, 47.649364
1009.000000, 47.646843
1008.000000, 47.662937
1007.000000, 47.693691
1006.000000, 47.703873
1005.000000, 47.706304
1004.000000, 47.715124
1003.000000, 47.733041
1002.000000, 47.752948
1001.000000, 47.779757
1000.000000, 47.771525
999.000000, 47.776263
998.000000, 47.797850
997.000000, 47.828610
996.000000, 47.846319
995.000000, 47.840700
994.000000, 47.851407
993.000000, 47.873405
992.000000, 47.899861
991.000000, 47.889815
990.000000, 47.899424
989.000000, 47.929695
988.000000, 47.951759
987.000000, 47.940712
986.000000, 47.959661
985.000000, 47.981640
984.000000, 47.978051
983.000000, 47.993045
982.000000, 48.026192
981.000000, 48.037760
980.000000, 48.037962
979.000000, 48.056440
978.000000, 48.085365
977.000000, 48.077692
976.000000, 48.096461
975.000000, 48.122302
974.000000, 48.119677
973.000000, 48.138583
972.000000, 48.162029
971.000000, 48.152979
970.000000, 48.181384
969.000000, 48.208956
968.000000, 48.209260
967.000000, 48.223816
966.000000, 48.251924
965.000000, 48.245928
964.000000, 48.270845
963.000000, 48.260248
962.000000, 48.286373
961.000000, 48.322916
960.000000, 48.351358
959.000000, 48.335191
958.000000, 48.330573
957.000000, 48.354579
956.000000, 48.392406
955.000000, 48.392584
954.000000, 48.411952
953.000000, 48.394393
952.000000, 48.422891
951.000000, 48.458864
950.000000, 48.440423
949.000000, 48.486485
948.000000, 48.513147
947.000000, 48.487528
946.000000, 48.498906
945.000000, 48.538647
944.000000, 48.535914
943.000000, 48.564698
942.000000, 48.549232
941.000000, 48.579668
940.000000, 48.611908
939.000000, 48.601755
938.000000, 48.637804
937.000000, 48.643319
936.000000, 48.648904
935.000000, 48.635057
934.000000, 48.675799
933.000000, 48.711809
932.000000, 48.708677
931.000000, 48.692193
930.000000, 48.723852
929.000000, 48.771036
928.000000, 48.756465
927.000000, 48.786290
926.000000, 48.777859
925.000000, 48.798887
924.000000, 48.837375
923.000000, 48.836066
922.000000, 48.856954
921.000000, 48.862808
920.000000, 48.867736
919.000000, 48.874094
918.000000, 48.908998
917.000000, 48.942903
916.000000, 48.953288
915.000000, 48.948457
914.000000, 48.948723
913.000000, 48.972835
912.000000, 49.006663
911.000000, 49.004825
910.000000, 49.011930
909.000000, 49.014514
908.000000, 49.057289
907.000000, 49.069495
906.000000, 49.105277
905.000000, 49.104201
904.000000, 49.108522
903.000000, 49.107819
902.000000, 49.134186
901.000000, 49.178016
900.000000, 49.183400
899.000000, 49.183390
898.000000, 49.229513
897.000000, 49.239464
896.000000, 49.246875
895.000000, 49.243985
894.000000, 49.265159
893.000000, 49.293154
892.000000, 49.330531
891.000000, 49.333412
890.000000, 49.349254
889.000000, 49.363863
888.000000, 49.376658
887.000000, 49.379886
886.000000, 49.413632
885.000000, 49.452012
884.000000, 49.465934
883.000000, 49.472374
882.000000, 49.487140
881.000000, 49.510710
880.000000, 49.531798
879.000000, 49.529860
878.000000, 49.550107
877.000000, 49.590872
876.000000, 49.601704
875.000000, 49.609383
874.000000, 49.634607
873.000000, 49.658342
872.000000, 49.694505
871.000000, 49.702611
870.000000, 49.722188
869.000000, 49.740792
868.000000, 49.748771
867.000000, 49.761018
866.000000, 49.797498
865.000000, 49.840858
864.000000, 49.858149
863.000000, 49.866378
862.000000, 49.877337
861.000000, 50.003492
860.000000, 50.290964
859.000000, 50.404771
858.000000, 50.397855
857.000000, 50.394433
856.000000, 50.442965
855.000000, 50.456362
854.000000, 50.450101
853.000000, 50.466542
852.000000, 50.483428
851.000000, 50.507507
850.000000, 50.557084
849.000000, 50.540694
848.000000, 50.590746
847.000000, 50.618605
846.000000, 50.664690
845.000000, 50.731805
844.000000, 50.756796
843.000000, 50.761649
842.000000, 50.780052
841.000000, 50.815715
840.000000, 50.842583
839.000000, 50.846923
838.000000, 50.892662
837.000000, 50.949032
836.000000, 50.975954
835.000000, 50.995672
834.000000, 51.024631
833.000000, 51.061298
832.000000, 51.089423
831.000000, 51.107642
830.000000, 51.141995
829.000000, 51.175808
828.000000, 51.211281
827.000000, 51.238249
826.000000, 51.264936
825.000000, 51.288296
824.000000, 51.306559
823.000000, 51.326378
822.000000, 51.366822
821.000000, 51.419774
820.000000, 51.455152
819.000000, 51.481939
818.000000, 51.513047
817.000000, 51.528902
816.000000, 51.565396
815.000000, 51.604772
814.000000, 51.648168
813.000000, 51.684339
812.000000, 51.710694
811.000000, 51.753059
810.000000, 51.775816
809.000000, 51.792923
808.000000, 51.837215
807.000000, 51.872001
806.000000, 51.918226
805.000000, 51.960622
804.000000, 51.980993
803.000000, 52.013745
802.000000, 52.054410
801.000000, 52.091659
800.000000, 52.125419
799.000000, 52.149412
798.000000, 52.179288
797.000000, 52.211946
796.000000, 52.253683
795.000000, 52.289791
794.000000, 52.332537
793.000000, 52.372052
792.000000, 52.400168
791.000000, 52.427595
790.000000, 52.466783
789.000000, 52.516781
788.000000, 52.560875
787.000000, 52.594045
786.000000, 52.633959
785.000000, 52.664469
784.000000, 52.696683
783.000000, 52.738097
782.000000, 52.766262
781.000000, 52.801102
780.000000, 52.849144
779.000000, 52.894856
778.000000, 52.923178
777.000000, 52.962850
776.000000, 53.004054
775.000000, 53.045802
774.000000, 53.083188
773.000000, 53.114835
772.000000, 53.160370
771.000000, 53.189448
770.000000, 53.217995
769.000000, 53.272865
768.000000, 53.314440
767.000000, 53.343690
766.000000, 53.372294
765.000000, 53.431932
764.000000, 53.462869
763.000000, 53.506672
762.000000, 53.542942
761.000000, 53.585357
760.000000, 53.621321
759.000000, 53.643004
758.000000, 53.690885
757.000000, 53.741003
756.000000, 53.785723
755.000000, 53.822385
754.000000, 53.862530
753.000000, 53.906523
752.000000, 53.948764
751.000000, 53.975852
750.000000, 54.033827
749.000000, 54.066462
748.000000, 54.103075
747.000000, 54.158401
746.000000, 54.203129
745.000000, 54.239065
744.000000, 54.275346
743.000000, 54.328840
742.000000, 54.379472
741.000000, 54.417612
740.000000, 54.461199
739.000000, 54.509280
738.000000, 54.562466
737.000000, 54.597907
736.000000, 54.644549
735.000000, 54.698857
734.000000, 54.736280
733.000000, 54.779352
732.000000, 54.839589
731.000000, 54.885852
730.000000, 54.930434
729.000000, 54.989594
728.000000, 55.025415
727.000000, 55.070413
726.000000, 55.121358
725.000000, 55.162150
724.000000, 55.214351
723.000000, 55.266877
722.000000, 55.316911
721.000000, 55.389667
720.000000, 55.426473
719.000000, 55.492687
718.000000, 55.532150
717.000000, 55.583845
716.000000, 55.629764
715.000000, 55.680325
714.000000, 55.745344
713.000000, 55.795305
712.000000, 55.850630
711.000000, 55.913477
710.000000, 55.961716
709.000000, 56.010775
708.000000, 56.084430
707.000000, 56.133761
706.000000, 56.204794
705.000000, 56.242446
704.000000, 56.294934
703.000000, 56.370439
702.000000, 56.418498
701.000000, 56.486734
700.000000, 56.543408
699.000000, 56.603592
698.000000, 56.666991
697.000000, 56.725086
696.000000, 56.788757
695.000000, 56.842996
694.000000, 56.905137
693.000000, 56.975777
692.000000, 57.037899
691.000000, 57.097304
690.000000, 57.174946
689.000000, 57.236062
688.000000, 57.294641
687.000000, 57.358350
686.000000, 57.434098
685.000000, 57.489824
684.000000, 57.565307
683.000000, 57.644285
682.000000, 57.705747
681.000000, 57.781222
680.000000, 57.847723
679.000000, 57.910871
678.000000, 57.980372
677.000000, 58.052448
676.000000, 58.117875
675.000000, 58.187401
674.000000, 58.263411
673.000000, 58.338555
672.000000, 58.423543
671.000000, 58.499084
670.000000, 58.565739
669.000000, 58.655777
668.000000, 58.714331
667.000000, 58.805452
666.000000, 58.873610
665.000000, 58.961332
664.000000, 59.033338
663.000000, 59.113877
662.000000, 59.192522
661.000000, 59.274235
660.000000, 59.372255
659.000000, 59.443459
658.000000, 59.524970
657.000000, 59.618540
656.000000, 59.688761
655.000000, 59.779852
654.000000, 59.867502
653.000000, 59.947807
652.000000, 60.056169
651.000000, 60.137219
650.000000, 60.231431
649.000000, 60.317216
648.000000, 60.414639
647.000000, 60.501580
646.000000, 60.602183
645.000000, 60.695132
644.000000, 60.786668
643.000000, 60.890115
642.000000, 60.990951
641.000000, 61.089945
640.000000, 61.195344
639.000000, 61.300430
638.000000, 61.393419
637.000000, 61.499784
636.000000, 61.595368
635.000000, 61.711631
634.000000, 61.824975
633.000000, 61.936817
632.000000, 62.052170
631.000000, 62.172325
630.000000, 62.280476
629.000000, 62.395160
628.000000, 62.520190
627.000000, 62.638224
626.000000, 62.762092
625.000000, 62.877766
624.000000, 63.007167
623.000000, 63.145763
622.000000, 63.270685
621.000000, 63.402553
620.000000, 63.532265
