nm, %T
1200.000000, 65.078924
1199.000000, 65.062459
1198.000000, 65.008476
1197.000000, 64.972427
1196.000000, 65.024752
1195.000000, 65.032673
1194.000000, 65.018437
1193.000000, 65.006939
1192.000000, 65.018057
1191.000000, 65.016895
1190.000000, 64.937052
1189.000000, 64.964426
1188.000000, 64.960319
1187.000000, 64.935523
1186.000000, 64.931517
1185.000000, 64.932832
1184.000000, 64.965131
1183.000000, 64.918948
1182.000000, 64.888241
1181.000000, 64.956737
1180.000000, 64.914690
1179.000000, 64.897378
1178.000000, 64.922525
1177.000000, 64.906463
1176.000000, 64.853059
1175.000000, 64.892571
1174.000000, 64.857140
1173.000000, 64.891772
1172.000000, 64.844730
1171.000000, 64.827746
1170.000000, 64.889757
1169.000000, 64.874268
1168.000000, 64.843397
1167.000000, 64.840233
1166.000000, 64.824948
1165.000000, 64.843884
1164.000000, 64.799186
1163.000000, 64.791724
1162.000000, 64.850862
1161.000000, 64.808318
1160.000000, 64.807306
1159.000000, 64.808987
1158.000000, 64.802765
1157.000000, 64.817926
1156.000000, 64.832437
1155.000000, 64.792495
1154.000000, 64.764602
1153.000000, 64.805478
1152.000000, 64.727238
1151.000000, 64.736412
1150.000000, 64.739523
1149.000000, 64.778872
1148.000000, 64.774740
1147.000000, 64.697500
1146.000000, 64.688408
1145.000000, 64.727281
1144.000000, 64.728710
1143.000000, 64.698602
1142.000000, 64.662929
1141.000000, 64.659134
1140.000000, 64.720286
1139.000000, 64.715726
1138.000000, 64.689672
1137.000000, 64.692946
1136.000000, 64.726708
1135.000000, 64.685704
1134.000000, 64.677690
1133.000000, 64.698419
1132.000000, 64.692108
1131.000000, 64.640131
1130.000000, 64.627423
1129.000000, 64.648573
1128.000000, 64.647967
1127.000000, 64.656199
1126.000000, 64.648152
1125.000000, 64.645383
1124.000000, 64.659854
1123.000000, 64.639226
1122.000000, 64.657667
1121.000000, 64.661802
1120.000000, 64.629781
1119.000000, 64.621548
1118.000000, 64.636626
1117.000000, 64.621329
1116.000000, 64.631474
1115.000000, 64.610543
1114.000000, 64.622266
1113.000000, 64.626869
1112.000000, 64.626291
1111.000000, 64.620596
1110.000000, 64.605384
1109.000000, 64.588165
1108.000000, 64.595236
1107.000000, 64.629365
1106.000000, 64.629202
1105.000000, 64.614942
1104.000000, 64.620171
1103.000000, 64.628945
1102.000000, 64.615005
1101.000000, 64.657522
1100.000000, 64.640206
1099.000000, 64.620143
1098.000000, 64.615084
