nm, %R
1100.000000, 34.812934
1099.000000, 34.539064
1098.000000, 34.255777
1097.000000, 33.929509
1096.000000, 33.650596
1095.000000, 33.328448
1094.000000, 32.951148
1093.000000, 32.612792
1092.000000, 32.369606
1091.000000, 32.069286
1090.000000, 31.762543
1089.000000, 31.448508
1088.000000, 31.047137
1087.000000, 30.722504
1086.000000, 30.493958
1085.000000, 30.098289
1084.000000, 29.880032
1083.000000, 29.536887
1082.000000, 29.228200
1081.000000, 28.909747
1080.000000, 28.583589
1079.000000, 28.230421
1078.000000, 27.903652
1077.000000, 27.570260
1076.000000, 27.253628
1075.000000, 26.968726
1074.000000, 26.636688
1073.000000, 26.343046
1072.000000, 26.020347
1071.000000, 25.639501
1070.000000, 25.391108
1069.000000, 25.042295
1068.000000, 24.715144
1067.000000, 24.403821
1066.000000, 24.076533
1065.000000, 23.732133
1064.000000, 23.362700
1063.000000, 23.000910
1062.000000, 22.617744
1061.000000, 22.267421
1060.000000, 21.861745
1059.000000, 21.411171
1058.000000, 21.012186
1057.000000, 20.530025
1056.000000, 20.170341
1055.000000, 19.769318
1054.000000, 19.409974
1053.000000, 19.035467
1052.000000, 18.667992
1051.000000, 18.277663
1050.000000, 17.947748
1049.000000, 17.606642
1048.000000, 17.222835
1047.000000, 16.917957
1046.000000, 16.623450
1045.000000, 16.272111
1044.000000, 15.894833
1043.000000, 15.593007
1042.000000, 15.297327
1041.000000, 15.045756
1040.000000, 14.691015
1039.000000, 14.372314
1038.000000, 14.127557
1037.000000, 13.838792
1036.000000, 13.574095
1035.000000, 13.325038
1034.000000, 13.025357
1033.000000, 12.752698
1032.000000, 12.503190
1031.000000, 12.227909
1030.000000, 12.026449
1029.000000, 11.795870
1028.000000, 11.526453
1027.000000, 11.340715
1026.000000, 11.116236
1025.000000, 10.916545
1024.000000, 10.670031
1023.000000, 10.418437
1022.000000, 10.282780
1021.000000, 10.134265
1020.000000, 9.914295
1019.000000, 9.689109
1018.000000, 9.455828
1017.000000, 9.310482
1016.000000, 9.166961
1015.000000, 9.025676
1014.000000, 8.823032
1013.000000, 8.664883
1012.000000, 8.499790
1011.000000, 8.318796
1010.000000, 8.122161
1009.000000, 8.044166
1008.000000, 7.951107
1007.000000, 7.764948
1006.000000, 7.585297
1005.000000, 7.471422
1004.000000, 7.352319
1003.000000, 7.271925
1002.000000, 7.132919
1001.000000, 6.938420
1000.000000, 6.822840
999.000000, 6.719873
998.000000, 6.567527
997.000000, 6.521202
996.000000, 6.449308
995.000000, 6.295795
994.000000, 6.140969
993.000000, 6.050488
992.000000, 5.987399
991.000000, 5.875844
990.000000, 5.790020
989.000000, 5.718354
988.000000, 5.631551
987.000000, 5.556396
986.000000, 5.427893
985.000000, 5.354433
984.000000, 5.259439
983.000000, 5.134902
982.000000, 5.060568
981.000000, 4.985042
980.000000, 4.935489
979.000000, 4.831114
978.000000, 4.730665
977.000000, 4.663635
976.000000, 4.588474
975.000000, 4.563052
974.000000, 4.516422
973.000000, 4.427428
972.000000, 4.358003
971.000000, 4.303287
970.000000, 4.201669
969.000000, 4.135677
968.000000, 4.063366
967.000000, 4.013828
966.000000, 4.009683
965.000000, 4.025290
964.000000, 3.952169
963.000000, 3.823203
962.000000, 3.774545
961.000000, 3.747723
960.000000, 3.655479
959.000000, 3.618477
958.000000, 3.581854
957.000000, 3.557411
956.000000, 3.501030
955.000000, 3.427684
954.000000, 3.402228
953.000000, 3.373327
952.000000, 3.310602
951.000000, 3.279730
950.000000, 3.268700
949.000000, 3.193363
948.000000, 3.109228
947.000000, 3.095481
946.000000, 3.087417
945.000000, 3.075230
944.000000, 3.055878
943.000000, 2.993051
942.000000, 2.941799
941.000000, 2.951967
940.000000, 2.918240
939.000000, 2.870225
938.000000, 2.832275
937.000000, 2.805376
936.000000, 2.768654
935.000000, 2.721016
934.000000, 2.720612
933.000000, 2.751993
932.000000, 2.670966
931.000000, 2.648151
930.000000, 2.628399
929.000000, 2.693754
928.000000, 2.671732
927.000000, 2.577437
926.000000, 2.531705
925.000000, 2.508525
924.000000, 2.482020
923.000000, 2.526431
922.000000, 2.550468
921.000000, 2.504465
920.000000, 2.498756
919.000000, 2.443103
918.000000, 2.498190
917.000000, 2.505702
916.000000, 2.523006
915.000000, 2.504256
914.000000, 2.538906
913.000000, 2.576194
912.000000, 2.528337
911.000000, 2.484987
910.000000, 2.474741
909.000000, 2.477819
908.000000, 2.461934
907.000000, 2.561058
906.000000, 2.568818
905.000000, 2.521332
904.000000, 2.529006
903.000000, 2.423533
902.000000, 2.432016
901.000000, 2.470122
900.000000, 2.555238
899.000000, 2.504784
898.000000, 2.474740
897.000000, 2.511707
896.000000, 2.439620
895.000000, 2.409003
894.000000, 2.495792
893.000000, 2.401786
892.000000, 2.484381
891.000000, 2.426179
890.000000, 2.431436
889.000000, 2.382734
888.000000, 2.377429
887.000000, 2.380471
886.000000, 2.415152
885.000000, 2.394801
884.000000, 2.348326
883.000000, 2.428545
882.000000, 2.497968
881.000000, 2.459452
880.000000, 2.433685
879.000000, 2.371108
878.000000, 2.439606
877.000000, 2.278836
876.000000, 2.427855
875.000000, 2.379733
874.000000, 2.348110
873.000000, 2.496144
872.000000, 2.390024
871.000000, 2.395472
870.000000, 2.352336
869.000000, 2.347306
868.000000, 2.406282
867.000000, 2.532919
866.000000, 2.369596
865.000000, 2.423977
864.000000, 2.610968
863.000000, 2.309608
862.000000, 2.254116
861.000000, 2.153004
860.000000, 2.011785
859.000000, 2.058553
858.000000, 2.103356
857.000000, 1.841181
856.000000, 1.805064
855.000000, 2.008643
854.000000, 1.896818
853.000000, 1.790843
852.000000, 1.836865
851.000000, 1.881963
850.000000, 1.936629
849.000000, 1.855157
848.000000, 1.962610
847.000000, 2.000075
846.000000, 2.044125
845.000000, 1.987283
844.000000, 1.994725
843.000000, 1.909717
842.000000, 1.867326
841.000000, 1.947615
840.000000, 1.952805
839.000000, 1.963510
838.000000, 1.968992
837.000000, 1.980835
836.000000, 1.985082
835.000000, 1.943863
834.000000, 1.991085
833.000000, 1.947678
832.000000, 1.986255
831.000000, 1.964812
830.000000, 2.002879
829.000000, 1.955686
828.000000, 1.990385
827.000000, 1.973054
826.000000, 1.981472
825.000000, 1.981875
824.000000, 1.997005
823.000000, 1.976675
822.000000, 1.996649
821.000000, 1.992197
820.000000, 1.964116
819.000000, 1.996889
818.000000, 1.977109
817.000000, 1.988214
816.000000, 1.988438
815.000000, 1.988316
814.000000, 1.991839
813.000000, 1.992908
812.000000, 1.972278
811.000000, 1.973594
810.000000, 1.979043
809.000000, 2.003757
808.000000, 2.004759
807.000000, 1.988096
806.000000, 1.990181
805.000000, 2.003018
804.000000, 1.999970
803.000000, 2.012875
802.000000, 2.021266
801.000000, 2.004092
800.000000, 2.006023
799.000000, 2.012507
798.000000, 2.003482
797.000000, 2.006887
796.000000, 2.002019
795.000000, 2.008821
794.000000, 2.004549
793.000000, 2.003477
792.000000, 2.004807
791.000000, 2.010654
790.000000, 2.017689
789.000000, 2.035534
788.000000, 2.024692
787.000000, 2.024122
786.000000, 2.027374
785.000000, 2.026290
784.000000, 2.025262
783.000000, 2.036615
782.000000, 2.025822
781.000000, 1.998955
780.000000, 2.041765
779.000000, 2.041265
778.000000, 2.041808
777.000000, 2.038579
776.000000, 2.049500
775.000000, 2.042936
774.000000, 2.039187
773.000000, 2.038653
772.000000, 2.043671
771.000000, 2.045748
770.000000, 2.045367
769.000000, 2.048995
768.000000, 2.037219
767.000000, 2.045365
766.000000, 2.057677
765.000000, 2.058102
764.000000, 2.064845
763.000000, 2.035611
762.000000, 2.038374
761.000000, 2.058993
760.000000, 2.066313
759.000000, 2.065838
758.000000, 2.058026
757.000000, 2.055603
756.000000, 2.058993
755.000000, 2.052413
754.000000, 2.059986
753.000000, 2.063576
752.000000, 2.070204
751.000000, 2.076853
750.000000, 2.067583
749.000000, 2.071638
748.000000, 2.074758
747.000000, 2.075732
746.000000, 2.078649
745.000000, 2.088014
744.000000, 2.089261
743.000000, 2.072720
742.000000, 2.087033
741.000000, 2.089839
740.000000, 2.089260
739.000000, 2.092890
738.000000, 2.095441
737.000000, 2.108429
736.000000, 2.108044
735.000000, 2.103623
734.000000, 2.107111
733.000000, 2.117457
732.000000, 2.106985
731.000000, 2.097850
730.000000, 2.104970
729.000000, 2.106448
728.000000, 2.105963
727.000000, 2.123009
726.000000, 2.132882
725.000000, 2.122997
724.000000, 2.112982
723.000000, 2.120712
722.000000, 2.115770
721.000000, 2.114208
720.000000, 2.122064
719.000000, 2.111066
718.000000, 2.120768
717.000000, 2.136351
716.000000, 2.128053
715.000000, 2.125834
714.000000, 2.125178
713.000000, 2.122542
712.000000, 2.133518
711.000000, 2.141019
710.000000, 2.133301
709.000000, 2.131432
708.000000, 2.143649
707.000000, 2.141377
706.000000, 2.129102
705.000000, 2.135874
704.000000, 2.153417
703.000000, 2.160377
702.000000, 2.164780
701.000000, 2.155178
700.000000, 2.146869
699.000000, 2.160766
698.000000, 2.166524
697.000000, 2.158955
696.000000, 2.161556
695.000000, 2.165156
694.000000, 2.166345
693.000000, 2.171748
692.000000, 2.169858
691.000000, 2.165441
690.000000, 2.169609
689.000000, 2.175770
688.000000, 2.175179
687.000000, 2.174073
686.000000, 2.178210
685.000000, 2.181575
684.000000, 2.182362
683.000000, 2.187665
682.000000, 2.186938
681.000000, 2.188985
680.000000, 2.197754
679.000000, 2.194118
678.000000, 2.185797
677.000000, 2.188296
676.000000, 2.197761
675.000000, 2.201328
674.000000, 2.204025
673.000000, 2.201612
672.000000, 2.213058
671.000000, 2.210624
670.000000, 2.210642
669.000000, 2.213707
668.000000, 2.209822
667.000000, 2.208637
666.000000, 2.221920
665.000000, 2.225512
664.000000, 2.217686
663.000000, 2.207591
662.000000, 2.217344
