nm, %T
1100.000000, 33.322480
1099.000000, 33.132554
1098.000000, 32.903991
1097.000000, 32.759823
1096.000000, 32.465039
1095.000000, 32.330945
1094.000000, 32.005459
1093.000000, 31.874482
1092.000000, 31.612753
1091.000000, 31.423323
1090.000000, 31.231707
1089.000000, 31.006020
1088.000000, 30.732318
1087.000000, 30.456352
1086.000000, 30.277127
1085.000000, 30.057902
1084.000000, 29.853816
1083.000000, 29.607036
1082.000000, 29.390836
1081.000000, 29.208887
1080.000000, 28.899541
1079.000000, 28.664596
1078.000000, 28.446875
1077.000000, 28.245215
1076.000000, 27.998574
1075.000000, 27.779418
1074.000000, 27.579418
1073.000000, 27.381967
1072.000000, 27.065272
1071.000000, 26.790009
1070.000000, 26.577766
1069.000000, 26.397879
1068.000000, 26.142662
1067.000000, 25.907235
1066.000000, 25.624823
1065.000000, 25.383763
1064.000000, 25.119761
1063.000000, 24.874263
1062.000000, 24.667194
1061.000000, 24.336197
1060.000000, 24.016769
1059.000000, 23.691643
1058.000000, 23.373533
1057.000000, 23.064093
1056.000000, 22.713144
1055.000000, 22.434374
1054.000000, 22.152538
1053.000000, 21.887914
1052.000000, 21.552624
1051.000000, 21.233185
1050.000000, 21.029709
1049.000000, 20.753537
1048.000000, 20.521297
1047.000000, 20.203427
1046.000000, 19.844540
1045.000000, 19.622653
1044.000000, 19.405702
1043.000000, 19.152173
1042.000000, 18.953396
1041.000000, 18.642327
1040.000000, 18.363137
1039.000000, 18.187914
1038.000000, 17.961938
1037.000000, 17.719857
1036.000000, 17.466328
1035.000000, 17.216221
1034.000000, 17.039756
1033.000000, 16.804683
1032.000000, 16.586245
1031.000000, 16.398666
1030.000000, 16.187377
1029.000000, 15.941800
1028.000000, 15.731826
1027.000000, 15.563027
1026.000000, 15.333702
1025.000000, 15.115947
1024.000000, 14.925416
1023.000000, 14.826234
1022.000000, 14.670806
1021.000000, 14.387571
1020.000000, 14.207590
1019.000000, 14.043158
1018.000000, 13.876445
1017.000000, 13.691148
1016.000000, 13.510549
1015.000000, 13.368996
1014.000000, 13.229464
1013.000000, 13.080428
1012.000000, 12.899349
1011.000000, 12.704703
1010.000000, 12.579114
1009.000000, 12.454113
1008.000000, 12.274750
1007.000000, 12.136262
1006.000000, 12.023481
1005.000000, 11.861068
1004.000000, 11.728633
1003.000000, 11.577993
1002.000000, 11.495028
1001.000000, 11.335259
1000.000000, 11.177822
999.000000, 11.076895
998.000000, 10.951056
997.000000, 10.801132
996.000000, 10.652879
995.000000, 10.544045
994.000000, 10.383311
993.000000, 10.249775
992.000000, 10.178280
991.000000, 10.051876
990.000000, 9.912153
989.000000, 9.804097
988.000000, 9.716660
987.000000, 9.644147
986.000000, 9.521328
985.000000, 9.369194
984.000000, 9.255342
983.000000, 9.174799
982.000000, 9.061127
981.000000, 8.935764
980.000000, 8.767703
979.000000, 8.677016
978.000000, 8.629130
977.000000, 8.498882
976.000000, 8.415580
975.000000, 8.288381
974.000000, 8.175334
973.000000, 8.090470
972.000000, 7.961064
971.000000, 7.950511
970.000000, 7.876993
969.000000, 7.742453
968.000000, 7.632612
967.000000, 7.538585
966.000000, 7.473130
965.000000, 7.351529
964.000000, 7.232063
963.000000, 7.165490
962.000000, 7.063268
961.000000, 6.941446
960.000000, 6.879847
959.000000, 6.845600
958.000000, 6.776704
957.000000, 6.651787
956.000000, 6.540735
955.000000, 6.460574
954.000000, 6.420804
953.000000, 6.320282
952.000000, 6.256620
951.000000, 6.162524
950.000000, 6.051515
949.000000, 6.009180
948.000000, 5.929413
947.000000, 5.828799
946.000000, 5.749228
945.000000, 5.622605
