nm, %T
1200.000000, 93.887144
1199.000000, 93.815259
1198.000000, 93.873772
1197.000000, 93.847868
1196.000000, 93.869020
1195.000000, 93.902287
1194.000000, 93.894200
1193.000000, 93.929767
1192.000000, 93.881099
1191.000000, 93.850939
1190.000000, 93.833364
1189.000000, 93.883359
1188.000000, 93.859915
1187.000000, 93.886971
1186.000000, 93.826963
1185.000000, 93.874325
1184.000000, 93.881875
1183.000000, 93.896873
1182.000000, 93.825821
1181.000000, 93.878883
1180.000000, 93.829108
1179.000000, 93.837785
1178.000000, 93.808837
1177.000000, 93.858514
1176.000000, 93.877549
1175.000000, 93.830095
1174.000000, 93.842851
1173.000000, 93.884837
1172.000000, 93.831735
1171.000000, 93.806520
1170.000000, 93.845824
1169.000000, 93.849050
1168.000000, 93.837208
1167.000000, 93.809276
1166.000000, 93.830691
1165.000000, 93.824651
1164.000000, 93.839916
1163.000000, 93.832316
1162.000000, 93.820216
1161.000000, 93.841181
1160.000000, 93.857920
1159.000000, 93.831187
1158.000000, 93.821879
1157.000000, 93.837453
1156.000000, 93.833504
1155.000000, 93.840262
1154.000000, 93.828155
1153.000000, 93.840592
1152.000000, 93.823213
1151.000000, 93.836533
1150.000000, 93.843345
1149.000000, 93.829092
1148.000000, 93.847490
1147.000000, 93.835746
1146.000000, 93.816605
1145.000000, 93.881534
1144.000000, 93.847070
1143.000000, 93.831502
1142.000000, 93.801859
1141.000000, 93.833634
1140.000000, 93.797668
1139.000000, 93.852969
1138.000000, 93.886302
1137.000000, 93.837725
1136.000000, 93.789768
1135.000000, 93.819799
1134.000000, 93.845517
1133.000000, 93.800140
1132.000000, 93.779675
1131.000000, 93.811341
1130.000000, 93.794996
1129.000000, 93.767496
1128.000000, 93.775395
1127.000000, 93.796807
1126.000000, 93.781645
1125.000000, 93.771677
1124.000000, 93.779162
1123.000000, 93.790120
1122.000000, 93.778796
1121.000000, 93.817210
1120.000000, 93.854007
1119.000000, 93.784565
1118.000000, 93.810250
1117.000000, 93.850643
1116.000000, 93.831317
1115.000000, 93.751622
1114.000000, 93.808881
1113.000000, 93.849365
1112.000000, 93.811884
1111.000000, 93.796672
1110.000000, 93.793742
1109.000000, 93.815985
1108.000000, 93.830706
1107.000000, 93.815538
1106.000000, 93.823144
1105.000000, 93.809399
1104.000000, 93.831020
1103.000000, 93.818385
1102.000000, 93.866682
1101.000000, 93.835053
1100.000000, 93.782351
1099.000000, 93.797375
1098.000000, 93.804416
1097.000000, 93.792008
1096.000000, 93.766537
1095.000000, 93.775356
1094.000000, 93.784480
1093.000000, 93.818715
1092.000000, 93.810202
1091.000000, 93.771061
1090.000000, 93.737744
1089.000000, 93.764064
1088.000000, 93.796909
1087.000000, 93.789978
1086.000000, 93.803588
1085.000000, 93.806353
1084.000000, 93.774085
1083.000000, 93.771850
1082.000000, 93.764486
1081.000000, 93.736218
1080.000000, 93.758406
1079.000000, 93.798586
1078.000000, 93.814335
1077.000000, 93.825529
1076.000000, 93.842614
1075.000000, 93.817012
1074.000000, 93.755355
1073.000000, 93.797672
1072.000000, 93.824926
1071.000000, 93.792541
1070.000000, 93.776086
1069.000000, 93.724271
1068.000000, 93.763170
1067.000000, 93.792705
1066.000000, 93.763191
1065.000000, 93.760667
1064.000000, 93.785324
1063.000000, 93.770002
1062.000000, 93.741527
1061.000000, 93.742373
1060.000000, 93.743256
1059.000000, 93.745349
1058.000000, 93.799920
1057.000000, 93.797627
1056.000000, 93.750376
1055.000000, 93.746706
1054.000000, 93.793817
1053.000000, 93.776039
1052.000000, 93.791183
1051.000000, 93.780537
1050.000000, 93.753596
1049.000000, 93.776599
1048.000000, 93.777545
1047.000000, 93.780170
1046.000000, 93.775279
1045.000000, 93.742353
1044.000000, 93.763254
1043.000000, 93.763847
1042.000000, 93.731735
1041.000000, 93.760797
1040.000000, 93.738901
1039.000000, 93.727292
1038.000000, 93.723509
1037.000000, 93.759420
1036.000000, 93.781602
1035.000000, 93.772112
1034.000000, 93.773791
1033.000000, 93.775608
1032.000000, 93.777622
1031.000000, 93.776528
1030.000000, 93.753101
1029.000000, 93.724342
1028.000000, 93.750572
1027.000000, 93.773733
1026.000000, 93.779761
1025.000000, 93.749224
1024.000000, 93.781568
1023.000000, 93.743620
1022.000000, 93.727932
1021.000000, 93.727780
1020.000000, 93.722466
1019.000000, 93.694839
1018.000000, 93.707679
1017.000000, 93.708863
1016.000000, 93.727491
1015.000000, 93.710547
1014.000000, 93.737143
1013.000000, 93.732349
1012.000000, 93.676816
1011.000000, 93.712993
1010.000000, 93.712135
1009.000000, 93.738648
1008.000000, 93.714360
1007.000000, 93.722936
1006.000000, 93.741426
1005.000000, 93.737125
1004.000000, 93.717146
1003.000000, 93.719037
1002.000000, 93.747414
1001.000000, 93.701528
1000.000000, 93.687436
999.000000, 93.737037
998.000000, 93.694812
997.000000, 93.760270
996.000000, 93.721065
995.000000, 93.745922
994.000000, 93.720784
993.000000, 93.714631
992.000000, 93.698140
991.000000, 93.700859
990.000000, 93.713539
989.000000, 93.686621
988.000000, 93.694296
987.000000, 93.701538
986.000000, 93.680792
985.000000, 93.702584
984.000000, 93.745669
983.000000, 93.694499
982.000000, 93.685293
981.000000, 93.664608
